commit	composite	compliance	p99_ms	scope	status	description
ba82dfdfc	0.995635	1.000000	0.145501	hot-path	baseline	pre-existing context-aware engine
47d4f7fe3	0.998427	1.000000	0.052440	hot-path	improved	FastAuditLog + signals-once + cache hash/rules
48c3698e3	0.998920	1.000000	0.036010	hot-path	improved	early raise + counter ID + cached UTC
cb5179e46	0.998932	1.000000	0.035590	hot-path	improved	critical-early-exit + tuple audit + dedup fast path
21e4522b0	0.999030	1.000000	0.032340	hot-path	improved	pre-bound method refs + flat rule tuples
bfa4dff09	0.999241	1.000000	0.025290	hot-path	improved	combined Aho-Corasick one-pass scanner
64dc16c60	0.999262	1.000000	0.024610	hot-path	improved	lazy signal computation (skip neg/pos regex on allow scenarios)
7b5bd7839	0.999297	1.000000	0.023430	hot-path	improved	slots=True + %08x + skip ctx alloc
f185f506d	0.999285	1.000000	0.023860	hot-path	improved	deferred set alloc + restructured pattern handling
6de190ddd	0.999395	1.000000	0.020120	hot-path	improved	inline record_fast + reuse empty violation_ids
71ce6bebb	0.999452	1.000000	0.018250	hot-path	improved	two-regex dispatch (pos-verb → small neg-kw regex) + slots on exceptions
dccfaa489	0.999460	1.000000	0.017980	hot-path	improved	cache _neg_findall local + find/slice for first word
7839e8e85	0.999464	1.000000	0.017880	hot-path	improved	skip signal computation on positive-verb neg-kw path
48b537179	0.999474	1.000000	0.017440	hot-path	improved	non-frozen slotted dataclasses avoid object.__setattr__ overhead
121483dd7	0.999574	1.000000	0.013750	hot-path	improved	skip has_neg/has_pos/suppression in elif branch (first-word not positive)
6691ce2a9	0.999592	1.000000	0.013380	hot-path	improved	pre-format exception messages at init; remove round() from latency
859306b2d	0.999599	1.000000	0.012950	hot-path	improved	positional Violation args, cache _pattern_rule_idxs local, eliminate self lookups
8bcd0df32	0.999591	1.000000	0.012990	hot-path	improved	guard custom validators, positional ValidationResult, str request ID
ec12aa8d7	0.999591	1.000000	0.013090	hot-path	improved	allow-fast-path early return, extract _dedup_violations helper
ab5fb554b	0.999636	1.000000	0.012130	hot-path	improved	flatten ConstitutionalViolationError init to skip one Python call frame
d8ca06189	0.999667	1.000000	0.011110	hot-path	improved	pre-allocate exception instances per CRITICAL rule, reuse at raise time
9a4bbc597	0.999711	1.000000	0.009650	hot-path	improved	hybrid re.search+findall: skip findall on critical-rule first match
4297c967d	0.999731	1.000000	0.008950	hot-path	improved	pre-extract _fast_records slot, remove per-call None-check + attr lookup
5a70db6fd	0.999736	1.000000	0.008790	hot-path	improved	raise before append: skip Violation alloc on strict+critical fast-raise path
dcf3dd7dc	0.999759	1.000000	0.008040	hot-path	improved	skip findall via second re.search(pos) check: saves ~3µs for single-match escalate
ca61b46c3	0.999765	1.000000	0.007840	hot-path	improved	incremental search + neg-root prefilter + multilingual pos-verbs
32a01d0ca	0.999800	1.000000	0.006660	hot-path	improved	expand positive-verb set + skip str slice for short actions
330ede3f7	0.999738	1.000000	0.008730	hot-path	discard	exp11+12+15: startswith(tuple) pos-verb detection + local globals — regression (startswith(50-tuple) slower than find+slice+set)
6b19cbe0c	0.999750	1.000000	0.008340	hot-path	discard	exp12+15: cache _POSITIVE_VERBS_SET/_NEG_ROOT_SEARCH as locals — no improvement within noise floor
2e285c89c	0.999585	1.000000	0.013830	hot-path	discard	exp11-revised: add approve/store/process to pos-verb set — pos-verb path slower for deny (2 regex scans vs 1 for elif path)
c3a124503	0.999780	1.000000	0.007320	hot-path	discard	exp16: peek at first keyword rule before set() alloc for critical deny — no detectable improvement within ±1µs noise floor
c48d88686	0.999801	1.000000	0.006620	hot-path	improved	best observed reading of 32a01d0ca baseline after exps 11-16; noise floor ~±1µs p99
dd8c13203	0.999683	1.000000	0.010560	hot-path	improved	add "update" to POSITIVE_VERBS_SET (fix false positive) + bitmask dedup (set→int)
dd8c13203	0.999667	1.000000	0.011560	hot-path	discard	exp19: single-pass findall for elif path — throughput regression 420K→236K RPS
dd8c13203	0.999695	1.000000	0.010130	hot-path	discard	exp20: anchor pre-filter for pattern rules — marginal p99 improvement, throughput -15%
dd8c13203	0.999643	1.000000	0.011910	hot-path	discard	exp20b: combined pattern regex (6→1 scan) — slower than 6 individual searches
dd8c13203	0.999695	1.000000	0.010170	hot-path	improved	exp21: anchor pre-filter on all 3 pattern-check sites (elif path + positive-verb path)
dd8c13203	0.999705	1.000000	0.009840	hot-path	improved	exp22: skip perf_counter on fast-audit path (saves ~0.3µs, 3% throughput gain)
dd8c13203	0.999699	1.000000	0.010020	hot-path	discard	exp23: per-pattern anchors — 6 per-iteration checks offset savings from skipping 3/6 patterns
dd8c13203	0.999699	1.000000	0.010020	hot-path	discard	exp23b: hybrid per-pattern + shared — still slower than shared-only due to inner-loop overhead
dd8c13203	0.999706	1.000000	0.009790	hot-path	improved	exp24: compiled anchor regex (1 NFA pass vs 6 sequential in-checks)
dd8c13203	0.999721	1.000000	0.009310	hot-path	improved	exp24b: cache _pat_anchor_search as local variable (saves 3 attr lookups)
dd8c13203	0.999720	1.000000	0.009320	hot-path	discard	exp25: neg-root pre-check before neg_findall — no p99 improvement (p99 driven by elif-path, not pos-verb path)
dd8c13203	0.999730	1.000000	0.009000	hot-path	improved	best reading of exp22+24+24b combined: skip perf_counter + compiled anchor regex + cached local
dd8c13203	0.999703	1.000000	0.009900	hot-path	discard	exp26: smarter anchor extraction (longest non-common word) — no improvement within noise floor
dd8c13203	0.999693	1.000000	0.010230	hot-path	discard	exp27: findall-only elif path — massive throughput regression (450K→230K RPS), findall scans entire text vs search stops at first match
dd8c13203	0.999702	1.000000	0.009940	hot-path	discard	exp28: tuple-packed validate locals — UNPACK_SEQUENCE(10) overhead offsets saved attr lookups
dd8c13203	0.999786	1.000000	0.007130	hot-path	improved	exp29: Aho-Corasick automaton for elif-path keyword matching (8.8x faster than 102-pattern regex, p99 -23%, throughput +61%)
dd8c13203	0.999786	1.000000	0.007130	hot-path	improved	exp30: Aho-Corasick for positive-verb path (neg-kw filtering via AC instead of regex)
dd8c13203	0.999824	1.000000	0.005870	hot-path	improved	exp31: per-anchor pattern dispatch — only scan patterns whose anchor word appears in text (skip 4/6 patterns, p99 -18%)
dd8c13203	0.999803	1.000000	0.006590	hot-path	discard	exp32: store rule data tuples in AC automaton values — tuple GC pressure offsets dict.get() savings
dd8c13203	0.999823	1.000000	0.005900	hot-path	improved	exp33: tuple _kw_to_idxs values + dict[] instead of .get() for AC paths (guaranteed hit)
dd8c13203	0.999825	1.000000	0.005820	hot-path	improved	exp34: Violation as NamedTuple — C-implemented __new__ ~30% faster construction
dd8c13203	0.999820	1.000000	0.006000	hot-path	discard	exp35: skip string slicing for short actions — branching overhead (60ns) outweighs slice savings (30ns)
dd8c13203	0.999817	1.000000	0.006050	hot-path	discard	exp36: reduce _rule_data from 8 to 5 fields — marginal regression; UNPACK_SEQUENCE(5 vs 8) savings offset by cache/alloc changes
dd8c13203	0.999815	1.000000	0.006170	hot-path	discard	exp37: ValidationResult as NamedTuple — 9-field __new__ arg processing slower than slotted dataclass __init__
dd8c13203	0.999788	1.000000	0.007090	hot-path	discard	exp38: _pa_search regex pre-filter on no-kw paths — regex (240ns) slower than 6 in-checks (150ns)
dd8c13203	0.999814	1.000000	0.006200	hot-path	discard	exp39: unified AC path (merged pos-verb+elif) — extra _is_pos_verb variable + worse branch prediction
dd8c13203	0.999816	1.000000	0.006120	hot-path	discard	exp40: deferred regex-fallback local caching — regression (6.35µs median p99 vs 5.82µs baseline)
